"learner","metric","value","metric_group","base_method","meta_type"
"tboost","nmse_p90",3.31215,"nMSE","boost","T-learner"
"tboost","nmse_mean",2.355424,"nMSE","boost","T-learner"
"tboost","pct_beats_zero",0.005435,"vs_zero_pred","boost","T-learner"
"tboost","pct_worse_zero",0.994565,"vs_zero_pred","boost","T-learner"
"tboost","rank_corr_mean",0.345398,"rank_correlation","boost","T-learner"
"tboost","rank_corr_sd",0.202413,"rank_correlation","boost","T-learner"
"tboost","rank_corr_p10",0.07502,"rank_correlation","boost","T-learner"
"tboost","rank_corr_p50",0.37415,"rank_correlation","boost","T-learner"
"tboost","rank_corr_p90",0.58559,"rank_correlation","boost","T-learner"
"tboost","sign_sg1_rate",0.86413,"sign_recovery","boost","T-learner"
"tboost","sign_sg2_rate",0.820652,"sign_recovery","boost","T-learner"
"tboost","sign_both_rate",0.706522,"sign_recovery","boost","T-learner"
"tboost","sign_sg2_ate_q1",0.869565,"sign_recovery","boost","T-learner"
"tboost","sign_sg2_ate_q4",0.782609,"sign_recovery","boost","T-learner"
"tboost","rec_sg1_p10",-0.11453,"recovery_ratio_sg1","boost","T-learner"
"tboost","rec_sg1_p25",0.2434,"recovery_ratio_sg1","boost","T-learner"
"tboost","rec_sg1_p50",0.57435,"recovery_ratio_sg1","boost","T-learner"
"tboost","rec_sg1_p75",0.910675,"recovery_ratio_sg1","boost","T-learner"
"tboost","rec_sg1_p90",1.32613,"recovery_ratio_sg1","boost","T-learner"
"tboost","rec_sg2_p10",-0.1892,"recovery_ratio_sg2","boost","T-learner"
"tboost","rec_sg2_p25",0.2229,"recovery_ratio_sg2","boost","T-learner"
"tboost","rec_sg2_p50",0.66125,"recovery_ratio_sg2","boost","T-learner"
"tboost","rec_sg2_p75",1.17655,"recovery_ratio_sg2","boost","T-learner"
"tboost","rec_sg2_p90",1.77364,"recovery_ratio_sg2","boost","T-learner"
"tboost","ate_bias_mean",0.195897,"ate_bias","boost","T-learner"
"tboost","ate_bias_sd",1.362796,"ate_bias","boost","T-learner"
"tboost","bias_sq",1.885496,"other","boost","T-learner"
"tboost","variance",32.656987,"other","boost","T-learner"
"tboost","norm_bias_sq",0.126558,"bias_variance","boost","T-learner"
"tboost","norm_variance",2.228866,"bias_variance","boost","T-learner"
"tkern","mse_median",6.401154,"MSE","kernel","T-learner"
"tkern","mse_p10",3.002447,"MSE","kernel","T-learner"
"tkern","mse_p25",4.158667,"MSE","kernel","T-learner"
"tkern","mse_p75",9.260715,"MSE","kernel","T-learner"
"tkern","mse_p90",11.916411,"MSE","kernel","T-learner"
"tkern","mse_mean",7.578936,"MSE","kernel","T-learner"
"tkern","nmse_median",0.4326,"nMSE","kernel","T-learner"
"tkern","nmse_p10",0.20647,"nMSE","kernel","T-learner"
"tkern","nmse_p25",0.29765,"nMSE","kernel","T-learner"
"tkern","nmse_p75",0.636625,"nMSE","kernel","T-learner"
"tkern","nmse_p90",0.88379,"nMSE","kernel","T-learner"
"tkern","nmse_mean",0.512457,"nMSE","kernel","T-learner"
